ENSG00000000003	TSPAN6	2.0	2.0
ENSG00000000419	DPM1	24.0	28.0
ENSG00000000457	SCYL3	2.0	2.0
ENSG00000000460	C1orf112	0.2	0.1
ENSG00000000938	FGR	0.7	0.5
ENSG00000000971	CFH	4.0	2.0
ENSG00000001036	FUCA2	4.0	2.0
ENSG00000001084	GCLC	3.0	2.0
ENSG00000001167	NFYA	4.0	3.0
ENSG00000001460	STPG1	0.3	0.1
ENSG00000001461	NIPAL3	3.0	2.0
ENSG00000001497	LAS1L	7.0	5.0
ENSG00000001561	ENPP4	16.0	14.0
ENSG00000001617	SEMA3F	3.0	2.0
ENSG00000001629	ANKIB1	5.0	4.0
ENSG00000001630	CYP51A1	0.1	
ENSG00000001631	KRIT1	6.0	4.0
ENSG00000002016	RAD52	5.0	4.0
ENSG00000002330	BAD	4.0	4.0
ENSG00000002549	LAP3	22.0	21.0
ENSG00000002586	CD99	21.0	37.0
ENSG00000002746	HECW1	0.1	0.1
ENSG00000002822	MAD1L1	2.0	2.0
ENSG00000002834	LASP1	9.0	8.0
ENSG00000002919	SNX11	5.0	4.0
ENSG00000002933	TMEM176A	0.7	0.4
ENSG00000003056	M6PR	11.0	9.0
ENSG00000003096	KLHL13	1.0	0.9
ENSG00000003137	CYP26B1	0.4	0.3
ENSG00000003147	ICA1	0.9	0.5
ENSG00000003249	DBNDD1	12.0	8.0
ENSG00000003393	ALS2	6.0	6.0
ENSG00000003400	CASP10	2.0	2.0
ENSG00000003402	CFLAR	13.0	8.0
ENSG00000003436	TFPI	2.0	1.0
ENSG00000003509	NDUFAF7	9.0	6.0
ENSG00000003756	RBM5	17.0	13.0
ENSG00000003987	MTMR7	0.3	0.2
ENSG00000003989	SLC7A2	79.0	65.0
ENSG00000004059	ARF5	34.0	32.0
ENSG00000004139	SARM1	0.3	0.2
ENSG00000004142	POLDIP2	172.0	171.0
ENSG00000004399	PLXND1	9.0	6.0
ENSG00000004455	AK2	22.0	18.0
ENSG00000004468	CD38	13.0	19.0
ENSG00000004478	FKBP4	22.0	24.0
ENSG00000004487	KDM1A	14.0	12.0
ENSG00000004534	RBM6	12.0	9.0
ENSG00000004660	CAMKK1	0.7	0.6
ENSG00000004700	RECQL	4.0	3.0
ENSG00000004766	VPS50	3.0	2.0
ENSG00000004776	HSPB6	612.0	590.0
ENSG00000004777	ARHGAP33	0.8	0.6
ENSG00000004779	NDUFAB1	76.0	74.0
ENSG00000004799	PDK4	90.0	70.0
ENSG00000004838	ZMYND10	0.2	0.1
ENSG00000004848	ARX	4.0	4.0
ENSG00000004864	SLC25A13	3.0	2.0
ENSG00000004866	ST7	3.0	2.0
ENSG00000004897	CDC27	10.0	8.0
ENSG00000004948	CALCR	0.5	0.2
ENSG00000004961	HCCS	30.0	34.0
ENSG00000004975	DVL2	4.0	3.0
ENSG00000005007	UPF1	10.0	7.0
ENSG00000005020	SKAP2	2.0	1.0
ENSG00000005022	SLC25A5	24.0	17.0
ENSG00000005059	MCUB	0.5	0.4
ENSG00000005073	HOXA11	2.0	2.0
ENSG00000005075	POLR2J	33.0	41.0
ENSG00000005100	DHX33	4.0	3.0
ENSG00000005102	MEOX1	6.0	4.0
ENSG00000005156	LIG3	2.0	2.0
ENSG00000005175	RPAP3	6.0	6.0
ENSG00000005187	ACSM3	0.1	
ENSG00000005189	REXO5	0.3	0.3
ENSG00000005194	CIAPIN1	14.0	13.0
ENSG00000005206	SPPL2B	3.0	3.0
ENSG00000005238	FAM214B	4.0	2.0
ENSG00000005243	COPZ2	20.0	32.0
ENSG00000005249	PRKAR2B	2.0	0.7
ENSG00000005302	MSL3	9.0	10.0
ENSG00000005339	CREBBP	10.0	10.0
ENSG00000005379	TSPOAP1	2.0	1.0
ENSG00000005381	MPO	0.2	0.2
ENSG00000005436	GCFC2	7.0	7.0
ENSG00000005448	WDR54	0.3	0.2
ENSG00000005469	CROT	4.0	3.0
ENSG00000005471	ABCB4	3.0	2.0
ENSG00000005483	KMT2E	7.0	5.0
ENSG00000005486	RHBDD2	6.0	5.0
ENSG00000005513	SOX8	0.3	0.1
ENSG00000005700	IBTK	16.0	14.0
ENSG00000005801	ZNF195	3.0	2.0
ENSG00000005810	MYCBP2	3.0	3.0
ENSG00000005812	FBXL3	8.0	7.0
ENSG00000005844	ITGAL	0.6	0.3
ENSG00000005882	PDK2	61.0	64.0
ENSG00000005884	ITGA3	2.0	1.0
ENSG00000005889	ZFX	8.0	4.0
